                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.5816,                  2.147,                 1.8276,                0.31796,                0.24134,                0.20837,                0.10285,                 1.9799,                  2.564,                 2.2293,               0.001684,               0.001684,               0.001684
                     86,                 1.5835,                 2.1414,                 1.8267,                0.33738,                0.22981,                0.20068,                0.09733,                 2.0004,                 2.5845,                 2.2539,               0.001585,               0.001585,               0.001585
                     87,                 1.5743,                 2.1151,                 1.8205,                0.32429,                 0.2487,                0.21586,                0.09825,                 1.9762,                 2.5623,                 2.1994,               0.001486,               0.001486,               0.001486
                     88,                 1.5701,                 2.0971,                 1.8222,                0.30121,                0.23354,                0.19587,                0.08888,                  2.011,                 2.6274,                 2.2513,               0.001387,               0.001387,               0.001387
                     89,                 1.5569,                 2.1086,                 1.8089,                0.28028,                0.22398,                0.18328,                0.08618,                 2.0091,                 2.6669,                  2.235,               0.001288,               0.001288,               0.001288
                     90,                  1.547,                 2.0823,                 1.7994,                0.34978,                0.22647,                0.20915,                0.09763,                 1.9881,                 2.5484,                 2.2167,               0.001189,               0.001189,               0.001189
                     91,                 1.6332,                   2.17,                 1.9076,                 0.2982,                0.25028,                0.21166,                0.09187,                 2.0389,                 2.6141,                 2.2521,                0.00109,                0.00109,                0.00109
                     92,                 1.6143,                 2.1213,                 1.8773,                0.34243,                0.24077,                0.20522,                0.09458,                  2.024,                 2.5886,                 2.2127,               0.000991,               0.000991,               0.000991
                     93,                 1.5904,                 2.1016,                 1.8847,                0.36155,                0.25055,                 0.2208,                0.09743,                 2.0125,                 2.5424,                 2.2214,               0.000892,               0.000892,               0.000892
                     94,                 1.5846,                 2.0586,                 1.8648,                0.32878,                0.24616,                0.20833,                0.09816,                 2.0169,                 2.5402,                 2.2547,               0.000793,               0.000793,               0.000793
                     95,                   1.57,                 2.0573,                 1.8597,                0.34152,                0.23684,                0.20702,                0.09903,                 2.0127,                  2.559,                 2.2351,               0.000694,               0.000694,               0.000694
                     96,                 1.5685,                 2.0542,                 1.8575,                 0.3834,                0.22944,                0.22063,                0.09923,                 2.0173,                 2.5301,                 2.2337,               0.000595,               0.000595,               0.000595
                     97,                 1.5538,                 2.0061,                 1.8407,                0.34249,                0.24012,                0.20186,                0.09087,                   2.05,                 2.5751,                  2.266,               0.000496,               0.000496,               0.000496
                     98,                 1.5421,                 2.0059,                 1.8369,                0.31124,                0.23854,                0.20186,                0.09261,                 2.0398,                  2.563,                  2.255,               0.000397,               0.000397,               0.000397
                     99,                 1.5329,                 2.0025,                 1.8397,                0.33472,                0.22891,                0.20175,                0.09312,                 2.0371,                 2.5706,                 2.2572,               0.000298,               0.000298,               0.000298
                    100,                 1.5053,                 1.9229,                 1.8034,                0.31267,                0.23757,                0.20782,                0.09551,                 2.0477,                 2.5646,                 2.2696,               0.000199,               0.000199,               0.000199
